2017-05-21T15:43:43Z,58,tele/esp/soil,0.17400000000000002
2017-05-21T15:44:43Z,60,tele/esp/soil,0.18
2017-05-21T15:45:43Z,64,tele/esp/soil,0.192
2017-05-21T15:46:43Z,61,tele/esp/soil,0.183
2017-05-21T15:47:43Z,64,tele/esp/soil,0.192
2017-05-21T15:48:42Z,66,tele/esp/soil,0.198
2017-05-21T15:49:43Z,71,tele/esp/soil,0.213
2017-05-21T15:50:42Z,79,tele/esp/soil,0.23700000000000002
2017-05-21T15:51:42Z,86,tele/esp/soil,0.258
2017-05-21T15:53:43Z,83,tele/esp/soil,0.249
2017-05-21T15:54:43Z,89,tele/esp/soil,0.267
2017-05-21T15:55:42Z,106,tele/esp/soil,0.318
2017-05-21T15:56:43Z,117,tele/esp/soil,0.35100000000000003
2017-05-21T15:57:43Z,113,tele/esp/soil,0.339
2017-05-21T15:58:43Z,129,tele/esp/soil,0.387
2017-05-21T15:59:43Z,126,tele/esp/soil,0.378
2017-05-21T16:00:43Z,138,tele/esp/soil,0.41400000000000003
2017-05-21T16:01:43Z,145,tele/esp/soil,0.435
2017-05-21T16:02:43Z,212,tele/esp/soil,0.636
2017-05-21T16:03:43Z,270,tele/esp/soil,0.81
2017-05-21T16:04:43Z,301,tele/esp/soil,0.903
2017-05-21T16:05:42Z,320,tele/esp/soil,0.96
2017-05-21T16:06:43Z,323,tele/esp/soil,0.969
2017-05-21T16:07:43Z,330,tele/esp/soil,0.99
2017-05-21T16:08:43Z,335,tele/esp/soil,1.0050000000000001
2017-05-21T16:09:43Z,341,tele/esp/soil,1.0230000000000001
2017-05-21T16:10:43Z,344,tele/esp/soil,1.032
2017-05-21T16:11:43Z,351,tele/esp/soil,1.053
2017-05-21T16:12:43Z,352,tele/esp/soil,1.056
2017-05-21T16:13:43Z,350,tele/esp/soil,1.05
2017-05-21T16:14:43Z,349,tele/esp/soil,1.047
2017-05-21T16:15:43Z,347,tele/esp/soil,1.041
2017-05-21T16:16:43Z,347,tele/esp/soil,1.041
2017-05-21T16:17:43Z,342,tele/esp/soil,1.026
2017-05-21T16:18:43Z,341,tele/esp/soil,1.0230000000000001
2017-05-21T16:19:42Z,340,tele/esp/soil,1.02
2017-05-21T16:20:42Z,341,tele/esp/soil,1.0230000000000001
2017-05-21T16:21:42Z,340,tele/esp/soil,1.02
2017-05-21T16:22:42Z,338,tele/esp/soil,1.014
2017-05-21T16:23:42Z,337,tele/esp/soil,1.0110000000000001
